venue,vendor_id,recon_type,month,year,price_text,price_details,notes,photos,sources,bot,service_region
Allison Ragsdale Photography,226a5022-f899-4529-85ce-3680d1bfe72f,online,11,2025,Quote only,"site lists an Essential Collection (up to 4hrs) and a step-up tier (up to 6hrs) plus a $500 add for a second shooter, but no dollar figures anywhere for the packages themselves so you have to inquire for the actual rates","-been shooting durango weddings for 10+ yrs, every package comes w/ a complimentary engagement session
-luxury album included on the bigger tier, 2nd shooter is a $500 add-on
-google reviews (96 of them, all 5) keep mentioning she took couples out to lake vallecitos for the mountain shots
-also does elopements, site leans hard into ""classic, candid, romantic"" as her words for style",,site /pricing; google reviews,bot1,Colorado
Alton Richardson Studios | Boulder Wedding Photographer,027d6b95-56b5-496e-a766-66a7de46c5a4,online,5,2026,"Local coverage starts at $2,200, elopements from $900","Front Range coverage starts at $2,200 per the site's own FAQ, elopement/micro wedding coverage starts at $900. A 30 minute video call plus a signed contract and 33% non-refundable retainer locks the date. Engagement and couples sessions are offered as add-ons, no dollar figure published for those.","Read through a stack of his reviews and a pattern showed up fast: multiple couples specifically called themselves not photogenic and said Alton coached them through it so the awkwardness didn't show. One review mentioned he handled picking the shoot locations entirely, which took a task off their plate. He shot both engagement and wedding for at least two of the reviewers. Available for CO, WY, and NM plus travel elsewhere per his site.",,site /rates; google reviews,bot2,Colorado + destination
Amanda Matilda Photography,67ca2f64-301b-47f5-be11-616fff777987,online,6,2025,Quote only,"No prices published, she asks you to fill out a contact form for her pricing guide then meet by phone or Zoom before sending an invoice. Heirloom album is an add-on you can tack on anytime.","- Specialty: elopements & micro weddings across Western Colorado, the San Juan Mountains, and Moab, Utah
- Started the business in 2012, moved to Grand Junction in 2015
- One review said she helped navigate national park permits and kept guests organized for group shots
- Multiple reviewers called out how responsive she was leading up to the ceremony, one used the word ""communicative"" twice",,site /pricing; google reviews,bot3,Western Colorado + destination
Andrea Stark Photography,86ab9261-aaf9-4067-ba01-77fa78b3b57e,online,9,2025,Quote only,"full custom proposal only, inquire for pricing including travel. Site says the weddings she shoots tend to be destination, multi day events so packages get built per couple rather than off a set menu.","andrea does full day mountain wedding coverage across colorado (getting ready through reception) and also runs a side company called bound for the mountains for smaller intimate weddings and elopements lol. one review said their original plans got altered last minute and she rolled with it. another mentioned she partnered well with their outside wedding planner on the day of logistics. reviews go back to 2020 and stay 5 star the whole way through",,site /weddings; google reviews,bot4,Colorado + destination
Antler Run Photography,8a8b6a26-d46d-461e-a09a-525a00b47c89,online,7,2025,"Wedding collections start at $4,500","-2 photographers included on every collection, no hidden fees per the site
-heirloom album also included, sneak peek gallery in 72hrs, full gallery in 8-10 weeks
-20% retainer locks the date, remaining balance due 30 days out, payment plans available
-launchintel digest backs this up: ""starts at $4,500""","-christine (owner) got called out by name in 3+ reviews for being easy to reach and calm on the day
-one review said they came from out of state and did a small elopement, said having someone super responsive made that distance easier
-another mentioned videography is also offered as part of the team's work
-moody/editorial editing style comes up in a couple reviews as the draw",,site /investment; google reviews; launchintel,bot1,Colorado
Ash Marie Photography,2a525b93-4e5f-488b-9001-f81ad91830ea,online,2,2026,Quote only,"Their pricing page exists but the copy we could pull just had the page title, no actual numbers, so you'd need to reach out directly for rates.","Went digging on this one and the reviews we found skew heavily toward family sessions, newborn shoots, and gender reveals rather than weddings specifically. Ashley (the photographer) gets consistent praise for making kids comfortable in front of the camera and for balancing candid vs posed shots. Worth confirming directly whether wedding day coverage is something she still actively books, since none of the top reviews mention a wedding.",,site /pricing; google reviews,bot2,Colorado
Austin James Photography,3e6fef5f-7343-464d-9349-67830329c21d,online,4,2026,"Average wedding package around $4,100","Wedding packages average $4,100 with 100-150 images delivered per hour of coverage and a complimentary engagement session included. Microwedding/elopement packages average $2,500, with a smaller stripped down option around $600. He's Denver-based but shoots statewide and beyond; for out of state travel his fees only cover plane ticket/gas plus room and board per the site, no extra markup mentioned.","couples in his reviews keep bringing up how he met with them beforehand and did their engagement shoot first, so wedding day felt like working with someone they already knew. one reviewer said they were awkward in front of a camera (their word, lol) but got guided into it naturally. delivery is all digital now, online gallery stays live a year with a print/album store built in. no physical usb anymore per the site.",,site /investment; google reviews,bot3,Colorado + destination
Authentic Moments Media,6fea9902-2aca-4b71-864f-660925086d52,online,2,2026,Quote only (bundled photo+video packages, not itemized in what we saw),"so this is a photo AND video team, not just stills, they do both under one booking. 40% retainer up front, rest due 4 weeks before the wedding. no actual dollar figures came through on the pricing page for us though, just structure/policy stuff, so you'd have to go through their site or a call to get real numbers. heads up though, elopement and ceremony-only packages aren't available for saturday or holiday weekend dates per their site.","one review mentioned meeting the team (cylina, gretchen the photographer, rocco the videographer) at a wedding expo first and getting sold after the team pulled up a video from the couple's actual venue as a work sample lol, that's a nice touch tbh. another reviewer said they won their package in a giveaway and insisted the quality didn't feel different from a paid booking. covers colorado plus parts of wyoming and nebraska, and they'll build a custom package for destination weddings too.",,site /pricing; google reviews,bot4,Colorado + destination
Authentic Moments Photography,3b631b73-e81d-49b7-b324-410d53bc6c6f,online,3,2026,Quote only,"Site pricing copy we saw was mostly policy language (elopement/simple ceremony framing, a $1.25/mi travel fee past 30mi from Inverness, CO), no actual package dollar amounts came through, so rates are on inquiry.","Andrew (the photographer) shows up by name in a big chunk of the 114 reviews here and multiple couples specifically called the pricing affordable relative to what they got. A few reviews mention it being a more intimate, one-on-one style shoot and said he made nervous first timers feel at ease quickly. Custom packages are apparently easy to arrange, one review said he was flexible with add-ons.",,site /pricing; google reviews,bot5,Colorado
Be Boulder Photography,c306dcc8-d80a-454a-be92-a834987b5f67,online,3,2025,"Elopements start at $2,000, weddings start at $4,000","Weddings start at $4,000 and elopements start at $2,000. A 50% deposit holds the date, remaining balance due 30 days before, and payment plans (monthly or quarterly auto withdrawal) are offered if the lump sum doesn't work. A second photographer is always brought along per the site, named as Madison or Annah.","-eleanor is the photographer behind this one and she comes up by name constantly in reviews, does weddings but also a lot of family/senior/headshot work per the reviews
-one review specifically mentioned an out of state couple (FL & TX) who booked a 30 min engagement shoot and had rain in the forecast, said eleanor kept them updated the whole time
-launchintel digest calls the style ""emotive storytelling and heartfelt portraits""
-129 reviews, all 5 star, feels like a volume shop but the couples reviews read genuinely happy",,site /pricing; google reviews; launchintel,bot6,Colorado
