venue,vendor_id,recon_type,month,year,price_text,price_details,notes,photos,sources,bot,service_region
Evie Joy Photography (Evie Felts),46b51d39-6b8e-45fa-b3f7-f80aff12a495,online,6,2026,"Packages from $2,400 (elopement) to $5,200 (wedding)","Wedding packages start at $5,200, elopement packages from $2,400, both custom built per couple. $1,000 retainer holds your date. Add-ons: extra hours $800 (day-of add $1,000), second shooter $200/hr, film rolls $200 each, polaroid packs $50 each. Payment plan available between retainer and one week out.","-based in Mancos/Durango, southwest Colorado, does destination too apparently. -5 years in, used to teach spanish before this lol. -leans into backcountry/off the beaten path locations per WPJA writeup, comes with her own SWCO location guide and an LGBTQ+ affirming vendor list which is a nice touch. -one review calls her elopement work outstanding, ~$3k starting per WPJA which lines up with her site's low end.",,"site /faq; launchintel",bot7,Durango/Telluride area + destination
Hughes Photo Co.,ac89a901-ec7a-474f-9e91-5b7e03a7dde7,online,9,2025,Wedding collections start at $6,500,"Collections begin at $6,500 (site also lists a $6,000 starting figure elsewhere, may be an older number). Every package includes rehearsal coverage. Couldn't find a breakdown of hours or add-ons like second shooter or albums, site keeps it vague and points you to a consult to pick a collection.","Went looking for their editorial stuff since that's what they're known for and the site backs it up, called high-fashion editorial in one summary. Rehearsal day coverage baked into every package is a nice touch most photographers charge extra for. Colorado Springs based. Didn't find a single review, good or bad, just the pricing page and portfolio.",,"site /investment; launchintel",bot8,Colorado Springs
In Love and Adventure,9fcbf989-ea15-4503-a599-f568850ff1e8,online,8,2025,Quote only,"No dollar figures published, site says packages are never one size fits all so you inquire. Ultimate elopement package is described though: 12 hours of coverage, splittable across two days or a midday break, complimentary album design included.","Kelly is based in Grand Junction and works all over Colorado plus Moab, Utah, so if you want mountain or desert backdrops she's covered. She's not just showing up to shoot, her whole pitch is she helps plan the elopement logistics too (locations, timeline, even the legal paperwork) and she's done 120+ of them. She eloped herself 7 years ago which is clearly where the niche came from. Nature-inspired storytelling is the style word she uses.",,site /elopement-packages,bot9,Colorado + Utah (Moab)
John Bosley Photography,06f51586-a3ab-4c16-9427-1f3a48e7509e,online,12,2025,Packages start at $2800,"Wedding packages start at $2,800 and include an engagement session, day-of coverage, online gallery and printing rights. Second photographer and/or wedding album are add-ons on some tiers. 25% deposit to book, rest flexible as long as it's paid by the wedding day.","He only takes a limited number of weddings a year by choice, per his own FAQ, so he's not trying to be everywhere. Every package comes with an engagement session and he seems genuinely into those, not just an upsell, his FAQ talks about it being a chance to get comfortable in front of the camera before the big day. Didn't find third party reviews, just his own site copy.",,site /wedding-pricing,bot10,Colorado
Kate Ivy Photography,2aa9db5b-a96c-4970-bbe7-2d33ed3556fe,online,4,2025,"$4,500-$7,200 for full-day wedding packages","Full day packages run $4,500 to $7,200 with a minimum of 8 hours coverage, top tier gets you up to 9 hours plus a one hour engagement or adventure session. Lower tiers step down to 6 and 4 hour coverage. Standalone engagement session is $950 for 1.5 hours, 75+ edited photos delivered in 2 weeks. Travel is not included past an hour and a half from Denver, they'll go anywhere but it costs extra past that radius.","Denver based husband and wife team, they specialize in elopements, micro weddings and adventure sessions across the Rockies and say they'll travel worldwide for the right wedding. One digest mentioned sneak peeks come back within days and full galleries are quick too, plus they often shoot with two photographers on full wedding packages. Site is unusually clear about what's included in every tier, no mystery pricing here.",,"site /investment; kateivyphotography.com digest; launchintel",bot11,Denver metro + destination
Kate Merrill Photography,52cd4a91-40b0-400d-b2fd-9a42d143803a,online,3,2025,"$4k-$9k peak season, day-of-week dependent","Peak season (May-Oct) rates by day: Friday $7,500, Saturday $9,000, Sunday $6,500, Mon-Thurs $5,500. Off season drops to Friday/Saturday $5,000, Sunday $4,250, Mon-Thurs $4,000. Partial-day and half to full day rental style options exist too. Elopements are cheaper, one digest put a typical elopement rate under $3k, and a WPJA listing shows a $1,800 starting price which is probably an older or bare-bones figure.","Her whole pricing page is set up as a build your own package, with a breakdown of what a second photographer covers (only for the important parts of the day, timing overlaps with hers). One digest specifically praised how efficient her elopement shoots are, lots of images out of just two hours. Also does a Boulder elopement guide and a Denver elopement/microwedding guide on her site if you're still narrowing down where to go.",,"site /pricing; launchintel",bot12,Boulder/Denver metro
Kelly Miller Studios,9df3e9ce-ce95-4063-8db5-689f057b594f,online,5,2025,"$5,500-$12k wedding packages, avg ~$8k for 8 hours","Packages range $5,500 to $12k, site says the average investment for an 8 hour wedding is $8k. 6 hours to full day coverage options. Videography runs $4,000-$8,500 separately or bundled with photo, average listed at $5,500 for half to full day. Retainer is variable by package for weddings, with a payment plan available. Site says travel fees are complimentary.","She shoots digital, film, and Super 8 for weddings and elopements, based in the mountain west but says she travels for destination weddings regularly. Also does boudoir and portraits on the side so weddings aren't her only category, just one of several. Didn't find any actual reviews, just her own site copy laying out the packages.",,site /pricing,bot13,Colorado + destination
Kins Photography,c939a2ee-6fa5-422b-b1e9-84cc391d7e7a,online,3,2025,Quote only,"Couldn't pin down real Colorado numbers, one digest cites a $3,000 full day rate with no call needed for pricing, but their own site copy is entirely written for Bay Area and San Francisco clients (half day up to 5hrs, full day up to 12hr, 30 day turnaround guarantee). Worth double checking directly whether they still shoot Colorado weddings before you get attached.","Their site reads like it's built for a California client base, not Colorado, so it's a little confusing for a Colorado search result. If the $3,000 full day figure is accurate that's on the affordable end, and packages apparently come with a private online album. Would want to confirm with them directly that they actually travel here before booking.",,"site /pricing; launchintel",bot14,Colorado (unclear, site reads CA based)
Liam Gordon Photography,02f90bc5-30cf-464d-b1b4-4fe804624d11,online,5,2026,Packages start at $4800,"Packages start at $4,800 per his own site. One outside pricing summary lists him starting around $5,000, close enough it's probably the same figure rounded. Proposal and contract process is straightforward, you sign online and pay the retainer to lock the date.","Documentary and candid, hands off style is how he's described, and he serves all of Colorado, Colorado Springs based. He's apparently a WPJA top international photographer, which is a real award not just a marketing line. One digest said he's almost fully booked for 2026 already so if that's your year you'd want to move fast.",,"site /pricing; launchintel",bot16,Colorado
Love Stories with Jen,a8f204c4-d7f2-465b-ab3e-f15ad03cdaf3,online,2,2025,"$750-$5,000 depending on coverage and location","In-state Colorado (and Arkansas) elopements start at $750. Out of state elopements scale by hours: $2,250 for 2 hours, $4,200 for 4 hours, $4,000 for 5 hours, up to $5,000 for 5 hours on the higher tier (site lists a couple of overlapping 5 hour figures, worth clarifying which applies). 30% deposit due at signing, has to be paid within 48 hours or the date opens back up.","She shoots both digital and 35mm film and calls her style honest and heartfelt rather than anything trendy. Two testimonials on her site use words like priceless and best investment, which is obviously her own selected quotes so take it as marketing, but the price tiers are laid out clearly which is more than most give you.",,site /investment,bot17,Colorado + Arkansas
