venue,vendor_id,recon_type,month,year,price_text,price_details,notes,photos,sources,bot,service_region
From the Hip Photo,acbe0507-f6cf-4e65-89a7-190d77137ee1,online,5,2026,Quote only,"site doesn't post numbers but describes tiered packages, the top one is literally called the Hot Fudge Sundae and includes two photographers, a one hour engagement session, and a custom printed album with full printing rights so no per-image fees later","-4.8 stars over 119 reviews so a real track record here
-'straightforward pricing with everything included, no surprise fees' per the site, you just have to inquire to see actual numbers
-a review from a Manor House wedding said having lead + second shooter meant nothing got missed, they caught both partners getting ready at the same time
-covers weddings/elopements/proposals across CO, travel included within an hour of their Denver studio and they'll go further into the high country for the right couple",,site /packages; site /elopements; google reviews,bot1,Denver + destination
Gary Soles Gallery,df033225-35c2-4a43-96dc-c202badaf66a,online,6,2026,Quote only,,,,,bot7,
Gillespie Photography,d095542b-99d4-47d4-9294-484786639d65,online,4,2025,"Starting around $6,200 per WPJA","husband and wife team (Stacy and Trent), documentary style covering weddings and elopements, serve Breck, Telluride, Vail, and basically anywhere in CO plus destination weddings worldwide, exact package breakdown not on the pricing digest so ask them directly","A trade group listing pegs them starting around $6,200 and they shoot documentary style as a husband and wife team out of Silverthorne. One review described Trent driving four hours to Moab last minute after another photographer broke his hand a week before the wedding, then shooting the entire day solo. A different couple said he coordinated a ski lap with family and friends the morning before their wedding when plans changed due to weather. Reviews consistently mention him staying late and going well past what was expected.",,region digest; google reviews,bot9,Breckenridge + Telluride + Vail + destination
Glitter & Bliss Wedding Planning & Events,4954f761-b2c3-4c4d-884e-065a70f8d163,online,1,2026,Quote only,,,,,bot10,
Gretchen Troop Photography,5a60252c-683a-449e-8332-4663ec84937c,online,3,2025,"$3.7k-$7.3k photo only, $8k-$17.3k w/ video","- a la carte destination engagement add-on is $800, discounted if bundled with a wedding package
- top package (Quaking Aspen) had 2 photographers, 2 videographers, plus an assistant/content creator on one wedding mentioned on her instagram
- exact hours per tier aren't spelled out, you get a full quote after a call","-been shooting since 2012, mountain weddings w/ an estes park focus but does elopements too
-reviews keep saying she knows rocky mountain nat'l park inside and out & isn't afraid to hike for a shot
-a texas couple said she gave them a full walkthrough a week before their elopement so they knew what to expect
-one reviewer straight up said 'based on reviews and pricing, easily the best bang for our buck'",,region digest; site /pricing; google reviews,bot11,Boulder + mountain/Estes Park focus
Grumpyhighlander,128ae87d-affa-4f71-a9f5-81cb8f7cd5a5,online,4,2025,Quote only,,,,,bot12,
Hannah Collier Photography,358dbe5c-91ab-4b1f-93b4-c887490a13ee,online,7,2025,Quote only,"site says every event is priced custom, no packages listed, you book a video call or in person meetup to build a collection, worth asking directly about elopement vs full wedding rates","tbh her site is all 'contact me for pricing' but the actual work covers weddings, elopements, and full adventure elopement/micro wedding planning, plus she also does corporate and maternity on the side. reviews keep saying she's on time and easy to work with, one reviewer said she's been shooting their family for 5-6 years and always delivers. another couple said she handled a chaotic day smoothly and made sure the important stuff got captured. no pricing numbers anywhere though so budget for a call before you know what you're working with",,site /invest; google reviews,bot13,Colorado Springs + Colorado
Hannah Henke Photography,485d7852-95bc-4d04-8884-123c9eae520e,online,9,2025,"Most couples invest around $8k for full day coverage","collections are flexible/tailored rather than fixed tiers, custom pricing available for micro weddings, elopements, engagement sessions, and multi day celebrations, no add on breakdown published so you'd confirm specifics when you inquire","Went down a review rabbit hole on this one. A couple said they first met Hannah while she was shooting a friend's wedding and loved her documentary approach before ever booking her themselves. Another review specifically called out that she's less about posed shots and more about capturing people actually living and celebrating, which is exactly the style she advertises on her site. A third reviewer said she has a way of making you feel at ease on your own wedding day, which came up more than once across the reviews I read.",,site /investment; google reviews,bot14,Denver + Colorado
Hannah Morvay Photography,b91f09aa-1cc8-455c-9b61-76d99b3d606c,online,2,2025,Wedding prices start at $400/hr,"site doesn't break out packages beyond the hourly starting rate, you talk through your day with her directly to build a plan","- Style: lifestyle portraits, weddings, elopements, adventure photography
- Loves an adventure engagement session, site literally asks if you want one on top of a mountain
- One review: shot a ceremony at the Jeffco courthouse then did couples shots at Red Rocks after
- Another reviewer said she's so unobtrusive during a shoot 'you barely even know she's there'",,site /pricing; google reviews,bot15,Golden + Colorado
Heather Jackson Photography,909b13b0-da75-4c9c-99a8-62841b149c73,online,1,2026,"Party Hard / Keep It Simple / Elopement packages","- Additional hours: $600/per
- Second photographer add on: 'Assistant Second Photographer'
- Super 8mm film add ons: wedding day (6+ min) $2,500, elopement (6+ min) $2,500, engagement (3 min) $800
- Travel: all fees are built into the package price for CO, for out of state she steers you to a different tier (Party Hard for western US, Whole Freakin' Weekend for eastern US/Canada/Mexico, Worldwide for Europe/South America)
- Extras: full black and white gallery add on $600, RAW image release fee $2,000","Review roundup:
- One bride said she heard about Heather from a friend's wedding first, researched other photographers, and still ended up booking her
- Multiple reviews use the word badass unprompted, one specifically about how she handled difficult family members without losing her cool
- 111 google reviews at 5 stars is a big enough sample that the consistency actually means something",,site /pricing; google reviews; region digest,bot16,Salida + Colorado + destination
