venue,vendor_id,recon_type,month,year,price_text,price_details,notes,photos,sources,bot,service_region
Original Weddings Photo & Video,23fb04c9-a80e-436a-8b48-60e7b4d040b2,online,11,2025,Quote only,"Their site is inquire only, no set pricing published anywhere I could find. They do shoot documentary, photojournalistic and candid style, and offer two different video add ons, a cinematic Rustic cut and a more true to life Timeless documentary cut.","This team's site has no actual pricing, just a check availability button, so we went digging through reviews instead. They shoot hundreds of weddings, elopements and engagements across Colorado every year and offer both photo and video, with two video looks to choose from, a dramatic Rustic cut or a documentary style Timeless cut. One bride said her original photographer flaked three weeks out and this team stepped in with Hunter, photos back in 2 to 3 weeks. A different review praised Angela specifically for staying calm and warm all day.",,site /locations/colorado/denver; google reviews,bot15,Colorado
PHOCO,08fd23ac-d878-4bbc-8c68-34cd44f9a9e5,online,7,2025,Quote only,"No pricing anywhere on their site, just galleries from real Fort Collins shoots. Couldn't find any packages or hourly rates listed.","Patrick leads this Fort Collins team alongside a few other named shooters, Alex, Alec and Becca, and they cover both photo and video on the same wedding. Reviewers keep bringing up candid as the word they wanted, saying they hoped for real emotion over stiff staged smiles and got exactly that. One couple who called themselves camera awkward said the team put them completely at ease. Their galleries show elopement and engagement work at spots like Rist Canyon Inn around Fort Collins.",,site /gallery; google reviews,bot17,Fort Collins
Photography by Brenda Colwell,33f2432d-1974-43cd-9656-da13e9204795,online,4,2026,Quote only,"No pricing listed on her site at all, you'd have to call or email directly. Only 9 Google reviews total, and most aren't about weddings.",Brenda is based in Telluride but her reviews skew mostly toward senior portraits and general local praise rather than actual wedding days. One review does mention a bride who booked her for a Colorado wedding and then had a serious medical emergency 25 days before the date, though it never says what happened with the wedding itself. Thin on wedding specific feedback either way.,,site (no pricing found); google reviews,bot1,Colorado
Picturesque Photography,37b14a45-4a02-47e3-a1b8-e9a518bd27fc,online,2,2026,Quote only,"No pricing posted anywhere on the site. Elopement packages bundle in planning help, local vendor recommendations, and their own Telluride Elopement Guide.",Wren (with Corey showing up alongside her in one review) specializes in adventure elopements around Telluride at named spots like Trout Lake, Bridal Veil Waterfall and Mount Sneffels. Multiple reviewers praised how fast she responds and how quick the turnaround is on the actual photos. One bride specifically said she found Wren through Google and got a reply almost immediately. Another shoot happened during smoky wildfire conditions and the photographer reportedly rolled with it and still delivered.,,site /elopement-photography; google reviews,bot2,Telluride
Preston Benson Videography: Durango Video Production,0ad3f282-a964-40a0-a054-20afad19a686,online,2,2026,"Wedding films from $3,000, photography from $2,100","Site lists wedding films starting at $3,000 and photography starting at $2,100, everything past those numbers is inquire only. Worth knowing going in, most of this business appears to be legal video depositions and corporate branding work, with wedding films as one line among several services.",Preston is based in Durango and covers the Western Slope for legal depositions and corporate video as his main work based on the reviews I could find. His site does have a dedicated wedding films and elopement videos section though, with named work like a Telluride elopement film and a winter elopement at Dunton Hot Springs. I couldn't find a single google review actually describing a wedding he shot. If weddings are the priority here it's worth asking directly how much of his year that actually is.,,site /wedding-films; site /video-production; google reviews,bot3,Western Slope
Real Life Photographs,3852f841-19c3-4d00-842f-4f71763bb2e5,online,5,2025,Quote only,"Nothing about pricing on the site, just galleries and an albums page. Fine art 10x10 wedding albums are offered as a physical add on product.","Kaycee is based in Ridgway but shoots weddings and engagements around Telluride too, and does fine art 10x10 wedding albums as an add on, which isn't that common anymore. One review specifically called out her studio series as a standout, said she's one of the only photographers doing that locally. Reviewers repeatedly mention her creativity and how comfortable she makes people feel, though nobody in the reviews mentions actual pricing or turnaround time.",,site /wedding-albums; site /engagement-session; google reviews,bot6,Ridgway + Telluride
Rebeca Velie Photography,cfe95206-1c42-463a-9e91-195227286146,online,1,2025,"Hybrid photo+video add on from $1,100, full packages by inquiry","Full package pricing isn't posted, she sends a detailed breakdown once you inquire. Hybrid photo and video coverage can be added to any package starting at $1,100. An elopement focused package includes a digital album and high res downloads. Booking requires a signed contract plus a 50% retainer.","Becky (Rebeca Velie) is based in Golden and offers an elopement focused package with a digital album and high res downloads bundled in, alongside full weddings by inquiry. You can add hybrid photo and video coverage to any package starting at $1,100, though the actual full package pricing isn't posted anywhere, she sends a detailed breakdown once you reach out. Booking needs a signed contract plus a 50% retainer. Reviews consistently describe her as calming for couples who are uncomfortable in front of a camera, with one reviewer specifically calling her organized, punctual, and easy to adjust plans with on the fly.",,site /investment; google reviews,bot8,Colorado
ROGUE Photography,9a1e4b98-9cb9-4d95-8d71-6f6c71a44573,online,5,2025,"$1,250-$6,500 depending on hours and add ons","Half day (4 hours) runs $2,500. Full day (10 hours plus an engagement session) runs $6,500. Standalone engagement sessions run $1,250 for 2 hours or $1,500 for an adventure style shoot. Custom packages and print packages available by inquiry.","Joshua shoots half days at $2,500 for 4 hours up to a full day at $6,500 which bundles in an engagement session, and standalone engagement sessions run $1,250 to $1,500 depending on whether you want the adventure style version. Reviews are unusually consistent about him calming nervous couples down fast, one bride said the photos look editorial but the day itself felt relaxed rather than staged. Another couple booked him for engagement, rehearsal dinner, and wedding photos in one package and said their guests commented on how comfortable he made everyone feel.",,site /packages; google reviews,bot10,Denver RICH:rogue-photography
Ryan Kost Photo,406b7297-163a-4721-a446-d1e7487cac51,online,4,2025,"$1,800-$4,500 elopement packages, $650-$3,000 event and family packages","Elopement tiers: Intimate Story $1,800 for 3 hours, Full Story $3,000 for 5 hours, Epic Story $4,500, all based within 100 miles of Denver. Event and family tiers: Essentials $650 for 1 hour, Main Event $1,500 for 3 hours, Full Experience $3,000. Standalone family, senior and engagement sessions run $550-$1,500. Sessions 50-100 miles from Denver add a stated $100 travel fee, farther than that requires a direct ask. Deposit is either $50-$100 flat or 25%, depending on the package.","Ryan's elopement tiers start at a 3 hour Intimate Story for $1,800 and go up through a 5 hour Full Story at $3,000 and an Epic Story at $4,500, all built around being within 100 miles of Denver. His family and event packages are priced separately, from $650 for an hour up to $3,000 for the full experience session. Reviews call out his communication by name, one couple booked him from California ahead of a Colorado trip and said he had location ideas ready before they even landed. Sessions 50 to 100 miles out add a flat stated $100 travel fee, beyond that you have to ask.",,site /pricing; google reviews,bot11,Denver metro + 100 miles RICH:ryan-kost-photo
Sam Murch Photography,53789041-b67a-4415-b1f0-92c511395349,online,10,2025,Quote only,"Site says weddings and elopements are starting at a certain price but the actual number never showed up on the page I checked, so it's inquire only. Second shooter and heirloom album are offered as named add ons, and galleries are delivered 6-8 weeks after the event.","Sam is based in Ouray and leans hard into elopements, her site reads almost like a mission statement about a couple's one real day of memories rather than a sales pitch. She offers an optional second shooter and a heirloom album add on, and delivers galleries in 6 to 8 weeks. One reviewer described a destination micro wedding around 20 guests where Sam sent over a digital planning guide ahead of time so they could visualize locations before flying in. Several reviews mention meeting her first at a friend's wedding and booking her off that alone.",,site /investment; instagram @sammurchphotography; google reviews,bot12,Colorado + destination
