venue,vendor_id,recon_type,month,year,price_text,price_details,notes,photos,sources,bot,service_region
Toni Axelrod Studios,19a1358e-7c7a-4096-bbf9-995bf2092824,online,1,2025,Quote only,"checked her site for a rate sheet and there isn't one, just testimonials. you'd have to email her directly for package pricing.","toni shoots in and around vail and she's got a run of 5 star reviews going back years. one couple had her for both their engagement session and a small elopement and said she was easy going and down to earth about the whole thing. another review mentioned she got a quick call back after emailing just two weeks before a proposal, which is a good sign if you're planning something on short notice. seems like a solid pick if you want documentary-feeling coverage without a ton of fuss.",,site homepage; google reviews,bot9,Colorado
Trystan Photography,8713ed00-1aa4-4854-988d-9386790917c0,online,7,2025,Wedding packages start around 5 hours coverage; inquire for exact rate,"main wedding packages start at 5 hours and include two photographers (Charlotte plus a second shooter), with smaller custom packages available for less than 5 hours and one shooter if you ask. site doesn't post a dollar figure, just structure: a 1/3 deposit at signing, another 1/3 at the halfway point, final 1/3 due day of, all non-refundable. digital files come full res and unwatermarked, no upsell there. a $400 print credit is included but can't go toward albums.","Charlotte and her team are based in Colorado Springs but a review mentions a destination wedding they shot in Breckenridge where they took charge of scouting locations for an out of state couple. reviews describe her as calm and efficient directing a big group, and one reviewer who'd used her for senior portraits years earlier came back for their wedding. no complaints showed up in what I read, just consistently glowing.",,site /investment; google reviews,bot10,Colorado
Two Elk Studios,fe441f96-1683-4945-b734-a5f59c57a173,online,6,2025,"Wedding collections start at $12,000 for weekday coverage","that starting price is for a weekday, includes photography from Jesse plus an associate shooter and the first pages of a custom heirloom album already built into the collection. site leans hard into mountain elopement work, framed as a flexible alternative to a full wedding with any location you want.","jesse's reviews go back years and keep circling the same theme, easy to work with and genuinely into the job. one couple hired him for their welcome party the night before and then again the next day for an interactive photo wall, which was apparently a hit with guests. another review from a family session called out his mix of posed and candid shots. nothing but 5 stars in what's up on google.",,site homepage; google reviews,bot11,Colorado
Type Deux Weddings,d9583e7e-425a-43f6-859b-600829c953f2,online,10,2025,Quote only; engagement sessions start at $350,"site doesn't list a wedding number anywhere, engagement sessions are the only figure given at $350 and up. wedding packages come in half day or full day, photo only or photo plus film, and every package is eligible for an 18 month payment plan which is a nice option if you're budgeting early.","Tyler is the photographer behind it and reviews describe him as creative with a strong eye for lighting and angles, styled for editing that leans cinematic. one couple flew him to Hawaii for their wedding after loving their engagement shoot, another had him travel to Montana. seems to be a destination-friendly operation even though he's Colorado Springs based.",,site /pricing; google reviews,bot12,Colorado Springs + destination
V's Photography,fb3310bd-e2ec-49cc-b0cb-c04c8eddaba9,online,8,2025,Quote only,"site mentions an hourly starting rate for photo and video but never states the number, you have to go to a separate pricing page to get an actual quote. she describes her style as fly on the wall documentary, capturing the little moments people don't realize are being noticed.","Veronica (goes by V) is based in Grand Junction and covers weddings, elopements, and events, with a second shooter available. one review said she stayed calm and collected through a stressful day and basically ran the whole photography side so the couple could just be present. another mentioned she made a video too, so photo plus video looks to be a standard add rather than a separate service.",,site /investment2; google reviews,bot13,Western Slope
Valley to Summit Photography,f244834e-2ddf-4fd4-8700-ff81e6ae7c88,online,5,2026,"Pricing begins at $3,800","that's the entry point for her Colorado mountain collections, covering elopements, weddings, and family sessions out of Breckenridge, Vail, and Beaver Creek. all collections include some baseline set of deliverables per the site though it doesn't spell out exactly what. booking requires a signed contract and retainer, and she says she responds to inquiries within two business days.","reviews (mostly from family sessions, fewer wedding-specific ones) describe Alex as warm and easy to work with even for out-of-towners who felt out of their element. one reviewer said she rescheduled around bad weather without any hassle. she markets herself specifically toward the laid back, outdoorsy crowd rather than a traditional posed look.",,site /pricing; google reviews,bot14,Vail Valley + Summit County
Veils of Vail Wedding Planning & Design,a2752144-7715-4794-a7d4-a417e41fa3cd,online,6,2026,,,,,,bot15,
Venue on the Rocks,07813e85-a1bf-49a9-b70f-8b8768e9dbcc,online,6,2026,,,,,,bot16,
Vows and Peaks,ddad483e-44cc-46c1-a7ab-0d8e024ead5b,online,2,2025,"$4,700-$12,000 elopement packages","packages run from $4,700 for 4 hours up to $12,000 for a fully all-inclusive tier with video, hair, makeup, and florals bundled in. the most-booked option is the Wilderness package at $6,000 for 8 hours, which gives room for a hike, a first look, the ceremony, a first dance, and still some breathing room. galleries land in 8-10 weeks, fully edited and unlimited downloads, with handcrafted albums available separately.","Sean runs this solo and focuses entirely on Colorado mountain elopements, with guides on his site for Telluride, Breckenridge, and the San Juans specifically. reviews are extremely consistent, over a hundred of them at 5 stars, and multiple couples mention how fast he responds and how the whole process felt genuine rather than salesy. one review said he helped plan out the actual ceremony flow, not just the photos, which tracks with how elopement-focused photographers often end up doing double duty as day-of planner.",,site /elopement-packages; google reviews,bot17,Colorado
Walnut Street Photography,821f8d11-3eff-4f3c-9c6a-8af5ab33a461,online,11,2025,Base package covers up to 2 hours of coverage,"the base tier is 2 hours with 75+ edited images for the first hour and 50 per additional hour, and there's no travel fee within 2 hours of Denver which covers a lot of the mountain towns. noah, who runs it, says he's been shooting mostly small weddings and elopements the past several years, around 150-200 a year, though he still takes on bigger weddings too.","several reviews come through a specific micro-wedding coordinator (Colorado Micro-Weddings) rather than direct bookings, and describe noah going well past just photos, driving a couple up the mountain for portraits, pinning boutonnieres, even fixing a veil. one out of town couple said he coordinated bringing their flowers to them before the ceremony. sounds like someone who fills in gaps on the day rather than just standing back with a camera.",,site homepage; google reviews,bot1,Denver metro
