venue,vendor_id,recon_type,month,year,price_text,price_details,notes,photos,sources,bot,service_region
Wildroot Collective - Colorado Elopement Planning,c5a905dc-653f-4f93-8bb3-676891947100,online,11,2025,Quote only,"their site would not load pricing for me so I could not find package numbers, this looks like an inquire-for-a-quote situation for elopement coverage","-found 2 reviews for ashley & graham, both 5 star, both elopements\n-one couple got married at a mountain creek in winter park and said it rained but they still called the photos raw and full of joy\n-a second review says graham & ashley helped pick the date/time around crowds AND helped scout a location even with wildfires happening in the area that summer\n-no pricing on the site for me to go off of, seems like an inquire situation",,google reviews,bot7,Colorado + destination
Alyssa Carpenter Photography,0a66209b-7105-48d8-8a43-04eb4d2a8dfb,online,5,2026,"$850 Boulder engagement sessions, elopement packages custom from there","adventure engagement sessions are 1.5 hrs at $1,200 (or 50% off if bundled with a wedding package), boulder-specific engagement sessions are $850, elopement packages are customizable starting at a 2 hour minimum and include travel within 100 miles of Denver, location planning, and a full online gallery with printing rights. full wedding package pricing itself is not listed, you inquire for that","-Longmont-based, says she's shot over 550 weddings & elopements in Colorado over the past decade\n-travel radius covers Vail, Colorado Springs, RMNP, Fort Collins w/ extra fees past 100 miles of Denver (Crested Butte, Telluride, Durango need a special inquiry)\n-site copy leans hard into ""unscripted"" and documenting real experiences over a produced day\n-elopement packages bundle in an online gallery w/ printing rights, which is a nice touch",,site /pricing,bot12,Colorado + destination
Amanda Podesta Photography,c24532ca-059b-415f-add9-f346bf918519,online,3,2026,"Minimum investment $2,700 for micro wedding/elopement, full wedding days start at $2,600","elopement/micro wedding planning starts at a $2,700 minimum investment, full wedding day coverage starts at $2,600 and scales up from a consult. 25% non-refundable deposit at booking, balance due one month out. a complimentary engagement session is bundled into most wedding packages. no travel fee anywhere in the contiguous US, domestic travel outside Colorado runs $800, international is $2,000","-based out of Aspen/Vail, leans into a whole micro-wedding + elopement planning angle, not just photography\n-says she has a network of other vendors across the country and internationally for destination stuff\n-good detail: no travel fee within the contiguous US at all, which is unusual, but it jumps to $800 once you leave Colorado and $2k international\n-nothing from actual couples yet, this is all from her own site copy",,site /pricing,bot13,Colorado + destination
Amy Ronk Photography,8d58e1de-68e0-467f-97c3-45448ac1fb81,online,3,2026,"Starts around $1,500-$2,300","her site itself just says to contact her for pricing, no packages listed there. a pricing digest I found puts her starting range at $1,500-$2,300 for weddings and elopements, but that's not confirmed straight from her","- Denver-based, studio address is listed as 3282 W Oxford Ave\n- fine art style is the label she uses for herself\n- also shoots pet, family, lifestyle, branding, product and landscape work, so weddings aren't her only thing\n- explicitly women-owned and LGBTQ+ friendly on her materials\n- no reviews turned up in what I checked, so can't vouch for the actual experience yet",,site homepage; region pricing digest,bot14,Colorado
Angela Amen Photography,1a80a56f-6c14-45f1-88aa-ff2c5b03ae75,online,5,2025,"Packages roughly $1,800-$2,500 starting","her 6-hour package is pitched for smaller/intimate weddings and elopements, and a second shooter option adds 8 hours of coverage. a pricing digest puts starting packages around $1,800-$2,500 including 2 photographers, an engagement session, print release and consultation, with a 4-6 week turnaround, though I didn't get that confirmed directly off her site's numbers","-documentary/photojournalistic style, shooting weddings and video together since 2018\n-she quotes her own delivery rate as 50-70 photos per hour solo, 90-100 per hour with a second shooter\n-booking flow is a consult first, then she sends a proposal, you sign + pay retainer to lock the date\n-open to fully custom packages if the standard ones don't fit, which is a nice flexible touch",,site /pricing; region pricing digest,bot15,Colorado
Ashley Kristine Photo,a874165e-49b1-4a9a-b15c-8df26fbecb0e,online,8,2025,"Starts around $3,200","a pricing digest lists her starting rate at $3,200 for wedding and elopement work, though her site itself doesn't spell out exact package numbers beyond travel add-ons. travel outside her included radius runs $50 per hour of driving time when it's not bundled into the package already","-based in Windsor / Northern Colorado, says she's shot 180+ weddings and elopements\n-style is warm and colorful, her words, going for fun and love over anything moody\n-she'll travel basically anywhere, and Colorado + Washington ""bucket list"" locations get 25% off the listed package\n-24-hour gallery turnaround is her headline stat, at least for proposal sessions, which is fast",,site /pricing; region pricing digest,bot16,Northern Colorado + destination
Aspen Sage Photo,e2766aff-50a4-4ef0-b0a0-d2635717411d,online,8,2025,"Starts around $2,900","a pricing digest puts her starting rate at $2,900, her own site doesn't list exact numbers, just says packages get built around a consult once hours and photographer count are locked in. deposit is 30% of the total, due at booking","-based in Aspen, serves Glenwood Springs and Carbondale too, photojournalistic is the style word she uses\n-14 years of experience across elopement, event, journalism and fashion photography, she got her photography degree from Colorado Mountain College in 2015\n-engagement sessions can be tacked on for an extra fee if not already bundled\n-no couple reviews turned up in what I found, so take the experience claims at face value for now",,site /packages; region pricing digest,bot17,Aspen + Carbondale + Glenwood Springs
Autumn Parry Photography,21ea9652-bbe5-4ae9-8b78-f913e4b08cc8,online,7,2025,"Starts around $6,400","a WPJA-sourced digest puts her starting rate at $6,400. her site itself doesn't list numbers, but breaks down what's included: doc-style collections go up to 12 hours of coverage plus an engagement session and handcrafted layflat albums, while cheaper ""associate"" collections cap at 10 hours and hand the shoot to one of her associates instead of Autumn or Griffin themselves","-both are former photojournalists and lean hard into documentary style, real moments over posed ones\n-they send a hard copy planning guide when you book, with a planning spreadsheet, vow-writing tips and engagement session location ideas, kind of a nice extra\n-associate collections exist specifically for when they're already booked or your budget is lower, worth asking which tier you're actually getting\n-no couple reviews came up in what I checked, just the site's own package copy",,site /packages; WPJA digest,bot1,Colorado
Ayla Rae Weddings,dc2c6e93-fdf6-4bf0-a30a-0433cca63b87,online,5,2026,"$6.8k-9.3k photo only, $11k-15.5k photo & video","front range weddings start at $6k. photo-only collections run $6.8k-9.3k, and bundling photo & video runs $11k-15.5k. all collections include full day coverage, listed as 9-12 hours, and some collections add on extras beyond that base","-a review quoted on her own site says she went above and beyond and ""felt like a welcome friend"" on the wedding day itself, so take that with a grain of salt since it's her own testimonial, not independently sourced\n-she's upfront that she only shot elopements for a few years after her first wedding experience, her words were it made her do a ""dramatic 180""\n-front range is the stated base area, pricing is on the higher end compared to what else I've seen in this range",,site /pricing,bot2,Front Range
Berg Berg Photography,02f90c4f-8880-4e0a-9516-ef3db9a3d7ea,online,9,2025,"$2,000-$4,250 for named packages, elopement from ~$300 (film) or bundled into the 3-hour tier","packages are literally named after mountains: Dinosaur Ridge is $2,000, South Table Mountain is $3,250, Lookout Mountain is $4,250. a 3-hour elopement package exists separately. extra hour of coverage with both Kevin and Michelle (or a second shooter) is $550, engagement/family/senior portraits are $800, a 35mm film add-on starts at $300, albums start at $750, and a wood USB drive is $50. 40% retainer to book, travel is included within 1 hour of Golden and within 2 hours for weddings specifically","-Golden-based husband/wife team, Kevin Bergthold and Michelle Blomberg, site says 20 years experience and 300+ weddings shot\n-listed as a preferred photographer at Boettcher Mansion, Mt Vernon Canyon Club, Evergreen Lake House and the Golden Hotel, so if you're booking one of those venues they'll already know the space\n-complimentary engagement session comes with the standard packages\n-no couple reviews turned up in what I checked, this is all site pricing copy",,site /pricing; region pricing digest,bot3,Golden + Front Range
