venue,vendor_id,recon_type,month,year,price_text,price_details,notes,photos,sources,bot,service_region
K2 Event Co.,5729690f-7d56-4c17-a6b2-5f40c55e2bd3,online,4,2026,Quote only,"Their site just says they specialize in weddings, elopements, and social events with no rates listed, so pricing is on inquiry.","Went looking for K2 Event Co. after a friend mentioned them for a Telluride wedding, and this reads more like a full planning team than a photographer specifically. A 2025 review describes a tented celebration on Last Dollar Road for almost 200 guests that the team, led by Kristen, made feel effortless. Another reviewer called Kristen and Annie essential to their planning and rehearsal dinner process, though they noted some wires got crossed on the welcome party logistics. Worth a call if you want someone steering the whole day, not just camera coverage.",,site homepage; google reviews,bot2,Telluride
Kalen Jesse Photography Co.,bf565f33-7076-44f2-94cf-9f9ece5918cf,online,7,2025,"$7,400 average for full weddings, intimate packages from lower","Site lists a Denver intimate wedding/elopement option (up to 40 guests, 4 hours, add on hours) plus a Classic full storytelling package around $7,400 for 8 hours (up to 10). Full weekend coverage with rehearsal dinner and a 1 hour adventure session starts at $10K. Engagement session is 50% off when bundled with the Classic package. Add ons include film photography, photobooth, videography, and a vinyl DJ. No travel fee for Denver or DC, elsewhere is quoted case by case.","- Style: 'Full Storytelling' with candid and editorial moments, all packages customizable - Also does courthouse and couple only elopements plus proposal photography - Reviewer highlight: called her 'the most talented photographer in the Denver metro area' and praised her direction when posing people - Another review flagged how personal a decision picking a wedding photographer is since you spend all day together, and said they're glad they picked her - Engagement sessions lean playful, taco trucks and noodle spots instead of the usual park backdrop",,site /investment; google reviews,bot3,Denver metro
Kara Cavalca Photo+Video,ad7d1748-347d-4110-8d0b-fa7364e70be4,online,12,2025,full day weekend packages start at $4k for 6 hours,"weekday weddings get hourly rates instead of a flat package. engagement sessions come free with any wedding package, and if you book a standalone engagement session first that fee gets deducted from your wedding deposit later. couldn't get a read on travel costs so not mentioning those.","ok so this one does photo AND video which is nice if you don't want to hire two separate people. she's based in durango but her site name-checks telluride and ouray for elopements too so she clearly travels the western slope for those. a review said she never made them feel rushed or like they were getting a contract shoved at them (shade at a previous photographer they'd talked to lol), and multiple reviewers said she helped with day-of logistics beyond just showing up with a camera. seems like a good option if you want someone more hands-on than just 'shows up, shoots, leaves.'",,site /investment; google reviews,bot4,Western Slope
Kari Geha Photography,01c76481-ac5a-43e0-b559-d3be88ba896b,online,7,2025,"$5,250-$5,750 wedding collections, elopements from $3,000","- Gold $5750 / Silver $5500 / Bronze $5250, all up to 8 hours of coverage - Hourly coverage available too, 4 hour minimum on weekends ($750/hr) - Elopements start at $3000 on weekends","- Denver based, packages are all spelled out on the site up front which is refreshing vs the 'call for pricing' crowd - Review theme: FAST responder, one bride specifically called out how quickly she answered questions during planning - Booked for both engagement AND wedding photos per a couple who said they aren't 'camera people' but she made them comfortable - One reviewer got married at Blanc in Denver and said she handled their families well and was creative with shots",,site /investment; google reviews,bot5,Denver
Karla Wedding Photography,62eb80ab-408a-45ac-9974-c8038b5d0ab8,online,3,2026,"$2,000-$3,600 collections","Three tiers on the site: Collection 1 at $2,000, Collection 2 at $3,000, Collection 3 at $3,600. No breakdown of hours or what's included in each tier beyond the price itself.","-durango based, only 4 google reviews but all 5 stars -one reviewer specifically had an outdoor mountain wedding and said she worked hard to get a variety of shots and communicated well before/during/after -another reviewer compared notes with friends who paid more for other photographers and ended up disappointed, felt like she overdelivered for the price -small enough operation that there's not a ton of recent review volume to go on, worth asking for a fuller portfolio before booking",,site /investment; google reviews,bot6,Durango
Katie Corinne Photography,d011ba53-cfe1-416a-9f62-55af4451889f,online,7,2025,Quote only,"Their site doesn't list any rates, just describes covering proposals, engagements, intimate elopements, and destination weddings. You'd have to reach out directly for pricing.","- Instagram: @katiefletcher_photography, based out of Monument - Review from 2019: 'practically invisible during the ceremony,' planners reportedly couldn't even find her right before the bride walked down the aisle - A more recent 2026 review says she's good at both big moments and small intimate details, and keeps communication clear throughout - Consistent theme across years of reviews is being unobtrusive during the actual ceremony while still catching everything",,site homepage; google reviews,bot7,Colorado + destination
Kelly Miranda Photography,6a7146fb-0180-490d-956d-23970b461b98,online,8,2025,"Quote only, no published wedding rates","Site says to schedule an initial call or video chat to go over pricing and details, so nothing's posted up front. Add-ons that ARE listed: a second photographer for $150/hour, an 8x8 album for $850 (10x10 for $1,100), and an engagement session for $450 (or $250 to upgrade the album). She delivers 50-75 photos per hour of shooting.","Based in Durango but her reviews mention shooting a wedding out in New Jersey too, so she'll travel for the right booking. Reviews lean heavily toward family/portrait work (newborns, maternity, headshots) alongside weddings, and one reviewer specifically praised how she scoped out photo spots early at an unfamiliar venue before the ceremony started. You do have to go through the phone call step before getting real numbers, which could be a dealbreaker if you want to price-shop quickly.",,site /investment; google reviews,bot8,Durango + destination
KiKi Creates,c6448110-5ab1-4703-a0ae-a85d2802c0fd,online,2,2026,Quote only,"Site doesn't post rates on the packages/investments page, just describes coverage windows: 4+ hours recommended for elopements, 6-8 hours for weddings.","- Based in Crested Butte but says available everywhere, now booking 2026 and 2027 - Also does filmmaking, not just stills - Site leans hard into elopement planning specifically, offers to help scout locations and plan the actual day, not just show up and shoot - A 2026 review said she was somehow everywhere at once without feeling intrusive, and asked thoughtful prep questions about vision and timeline beforehand - Multiple reviews mention a Kara working alongside her, so bookings might come with a second shooter by default, worth confirming",,site /investments; google reviews,bot9,Crested Butte + destination
Kimi D Photography,7d0293cb-ca36-4f31-96a2-b1b132d16f5a,online,1,2025,Quote only,"couldn't get their pricing page to load so no rates to report, sourced entirely from her google reviews instead.","she's based in the eagle river valley near vail and does engagement + wedding + family portrait work, one reviewer said this was their 4th project with her over the years. what stood out from the reviews: when a couple mentioned they were still deciding between multiple photographers, she reportedly didn't badmouth the competitor at all, just explained the style difference, which is a nice sign. another reviewer said she helped with posing and kept people laughing to ease nerves. no pricing info to go on though so you'd have to call.",,google reviews,bot10,Vail area
Leah Goetzel Photography,5c9467c9-1617-495b-a5db-2524d3c5ddfd,online,1,2025,Quote only,couldn't get their pricing page to load so nothing on rates to share here.,"Denver based, does both weddings and elopements per her reviews (one couple planned an elopement with her from a different time zone entirely, which she apparently managed fine). Instagram is @leahgoetzel. The recurring word across three separate reviews is 'calming' or 'positive energy,' one bride said she was the first and only photographer they even spoke to because the first meeting sold them. No pricing info at all though, so budget-conscious couples would need to call before getting excited.",,google reviews,bot11,Denver
