venue,vendor_id,recon_type,month,year,price_text,price_details,notes,photos,sources,bot,service_region
Madeline J Studios,c444968d-f8c8-436d-b0de-df8222bd666b,online,3,2026,Quote only,"custom quote, no published tiers, but two site lines both stress travel is fully included so that part is at least clear","she does 1 hour of coverage per location with 2 outfit changes allowed per hour, and everything gets built into a custom proposal after a chat instead of picking from a menu. 4.9 stars across 86 google reviews and the recent ones keep saying the same thing, incredibly communicative and calm on the day. one review mentioned the album made it hard to pick favorites because so many came out well. documentary/candid style is the pitch, not posed.",,"site /pricing; google reviews",bot17,Denver
Magnified Joy Photography,6451f7a2-eb8e-4a19-8cb0-07f6e8819c6c,online,10,2025,Quote only,"no pricing on site - they lean into the relationship-first pitch (engagement session onward) instead of listing packages, so you'd need to inquire","tao & maria, husband/wife team out of crested butte -call it an 'adventure session' instead of engagement session -only 6 google reviews but all 5 stars, one from 2019 says they took the couple out for tacos before the wedding to build comfort in front of the camera -another review specifically praised how natural/unstaged the shots looked, not the typical posed stuff -does elopements, one review mentions a waterfall ceremony during wildflower season",,"site /about; google reviews",bot1,Crested Butte + destination
Mallory Munson Photography,6ee0beb7-af1a-4993-b70a-d40de1b5580e,online,7,2025,Quote only,"Site doesn't publish package prices. All collections include Mallory as lead with an option to add a second photographer, rehearsal coverage, and a custom album, and engagement sessions run 1.5 hours, so you'd inquire for actual numbers.","Went looking into her reviews since the site is all vibes and no pricing. She splits her year living half in Bali and half in Denver and shoots weddings and elopements around the world as a result. A venue owner review said they hired her for their own wedding and called her genuinely something special among photographers they'd worked with professionally. Another bride mentioned payment installments being available which helped with planning cash flow.",,"site /investment; google reviews",bot2,Denver + destination
Mark Creery Photography,d318dc6f-8c2c-46c4-9bb4-87dcc62a8684,online,1,2026,"Starting at $3,200-$3,500","Site lists a starting range but doesn't break down what's included at that tier or what pushes the price up - no mention of hours, add ons, or second shooter on the pages we could see.","Review roundup: 20 years shooting weddings, 110+ five star google reviews, site claims 11 awards. Serves Fort Collins, Estes Park, Denver, Boulder, Breckenridge and Longmont per his own listing. One reviewer said 'book with Mark, you won't regret it' and called him easy to work with regardless of scenery. Another review called out fast, outstanding communication through the whole planning process",,"site /packages; google reviews",bot3,"Fort Collins, Estes Park, Denver, Boulder, Breckenridge, Longmont"
Marry Me In Colorado,33ac5f88-3d98-4648-9fcc-e800df9a9f9d,online,3,2026,"all-inclusive elopement packages, add-ons priced separately","this one's an elopement/micro-wedding package company not a solo photographer, so pricing bundles photography with the ceremony itself. no travel fee within 30 min of estes park, fees apply beyond that. marriage license is a separate $30 the couple gets themselves, extra guests run $20 each, and there's a 'save $300' promo mentioned on the amore package on their site","okay so this is more of a full elopement package deal than just a photographer, kevin runs it and kennedy shoots photos, found a bunch of reviews mentioning both by name which is a good sign tbh. one review had a literal landslide delay their rmnp ceremony and kevin handled the reroute without drama. another said 40+mph winds forced a last minute move from outdoor to indoor and the team pulled it off anyway. kennedy specifically got praised for making picture taking easy even when people are nervous. rating's only 4.1 across 81 reviews though so not everyone loved it, worth digging into the lower ones before booking imo",,"site /faq; google reviews",bot4,Estes Park + Rocky Mountain National Park
Matt Alberts Photography,bb9aab05-470d-4673-9090-d86f9a0f6eed,online,11,2025,Quote only,"couldn't get much off their site beyond a single blog style post about an elopement shoot on montezuma peak. no pricing or package info visible and no reviews to reference either.","All I've got here is a blog post on the site about a styled elopement shoot up on Montezuma Peak, nothing on pricing or packages that we could find, and no reviews turned up to give a sense of what working with them is actually like. Based in Vail so presumably shoots mountain weddings and elopements in that area but that's an inference from location, not something the site spells out. Would need to reach out directly for basically everything.",,site homepage,bot5,Vail
Michael Morse Wedding Photography,d1b06bf9-9d2c-4a8c-93f3-c4b3fa28fc87,online,12,2025,Quote only,"Site has a full packages and pricing section by name but the actual numbers weren't visible to us, just page titles like elopement experiences and international adventure elopements.","Twenty years doing wedding and elopement work based out of Telluride but he clearly travels a lot for it. site mentions shoots in the Pacific Northwest, Tofino, Yosemite and Dunton Hot Springs alongside the local Telluride stuff. A review from this spring said they interviewed several photographers before picking him specifically because he seemed like he'd flow with however the day went rather than force a shot list. Another couple had him for both their Telluride engagement and their Granby Ranch wedding a year apart and said the mountain setting came through alongside the emotional stuff. A third review mentioned he handled hail, rain and shine in the same day for a Crested Butte micro wedding without missing the wildflowers blooming that week.",,"site /packages; google reviews",bot6,Telluride + destination
Michael Rawlings Photography,6008e4b8-2058-44f3-8821-d9b50edac159,online,12,2025,Quote only,"He asks for a call to give accurate detailed pricing rather than posting rates, and mentions bundling in his wife's wedding officiant services at a discount if you want both from one vendor.","Based in Eagle and covers Vail and Beaver Creek elopements from what the site says. Free unlimited consultations before booking to talk through photography preferences and day-of schedule. One review that stood out was a bride from North Carolina who'd never planned a proposal shoot before. he drove out to Beaver Creek to scout locations himself and FaceTimed her through the area beforehand so the surprise proposal would go smoothly. 4.9 stars across 71 reviews and multiple people specifically called out how easy and personable he was to work with.",,"site /pricing; google reviews",bot7,Vail + Beaver Creek
Michele Schanker Photography {Breckenridge Photographer},982e82bb-7608-4744-80c1-be3e05976b05,online,7,2025,"$350-$1,100 depending on session length and package","She's on location only, no rental houses (except she'll make an exception for elopements). 30 min sessions run $350 for 10 images up to $740 for the full gallery, 1 hour sessions run $550 for 20 images up to $1,100 for the full gallery plus a 20 page layflat album. 25% deposit to reserve, non refundable per the site. Weekend sessions add a flat $50 surcharge, Friday doesn't.","Pricing is actually posted here which is rare enough to be worth noting on its own. She's based in Breckenridge and does on location shoots only aside from elopements which get an exception to shoot at rental houses. A review mentioned booking her for a big 11 person extended family session and called the prices very reasonable especially for the area. Another reviewer highlighted her finding a mountain lake for senior photos and getting a large number of usable shots efficiently. 5 stars across 45 reviews with nothing negative that we saw.",,"site /pricing; google reviews",bot8,Breckenridge
Michelle Betz Photography,f42c591c-6657-497a-a081-300a39e4f8b1,online,2,2025,"Weddings from $3,999 for 6 hours","6 hours of coverage gets you 400+ edited images, 7 hours bumps to 500+, 8 hours to 600+. Average investment range quoted on site is $3,999-$6,000. Elopements start separately at $2,200. Add-ons include a second shooter, plus a 50% discounted engagement session OR 50% discounted bridal boudoir, one or the other not both. 25% retainer to book, rest due the day before the wedding.","Based in Colorado Springs and does weddings, elopements and family sessions. She's upfront on her site that she's a wife and mom shooting Colorado weddings, and one review called out that she was detailed and direct throughout planning which made the day feel less stressful. Another review specifically said the pricing was very fair for what's included. 5 stars across 34 reviews and multiple mention her communication being clear from the first inquiry.",,"site /pricing; google reviews",bot9,Colorado Springs
Mikayla Renee Photo,b8c21c61-c077-496d-9892-85b5d9bf5f54,online,1,2026,Quote only,"Site is built entirely around elopement packages (mini, half day, full day, multi day) but doesn't post actual dollar figures for any tier that we could find. $2,000 retainer secures your date once you sign the contract.","She's elopement focused specifically, not full weddings, and includes a 60+ page elopement planning guide with the multi day package plus help finding locations based on how much hiking or off roading you're up for. Style leans documentary. One review said she guided a private vow exchange separate from a bigger wedding and shot both in one day. Another mentioned she went the extra mile scouting a shoot that involved wading into chest deep water for the shot. 5 stars across 96 reviews and several call out how organized and responsive she was from the first call.",,"site /elopement-packages; google reviews",bot10,Colorado
Moon Myerson Photography,24c7e487-f010-4de4-9d7e-12be7bda8e56,online,7,2025,Quote only,"Packages aren't priced on the pages we saw, but travel terms are spelled out clearly: 1 hour of travel from Fort Collins is included, beyond that it's a prorated $100/hour. 50% deposit due upfront to book, non-refundable, balance due after the shoot and before photos are delivered.","Covers Fort Collins plus Estes Park, Loveland, Greeley, Longmont, Louisville, Lafayette and Boulder within that included travel radius. Their higher tier collection includes a second photographer specifically so getting-ready shots in two rooms at once don't come down to picking one. Reviews are shorter than most photographers we looked at but consistently glowing, one couple said their elopement photos turned out beautiful and Moon gave good local recommendations along the way. 4.7 stars but only 12 reviews so a smaller sample than others.",,"site /faq; google reviews",bot11,"Fort Collins, Estes Park, Loveland, Greeley, Longmont, Boulder, Front Range"
Nate & Jenny Weddings,37c6b382-0a01-4959-815e-18a98f0b04ab,online,8,2025,Quote only,"Site talks about crafting a personalized package after checking in with the couple and wedding team, no dollar figures listed. Album add-ons plus pre-wedding and engagement sessions are offered on top of the base package.","Husband and wife team based in Vail, 4.9 stars across 40 reviews going back years. One review described an 18 degree New Year's Eve wedding where Jenny kept everyone's spirits up shooting outside in the cold and still got every shot on the list plus more. Another bride called the whole process from first call to final gallery delivery professional and organized, and said Jenny was everywhere on the day without ever feeling intrusive.",,"site /connect; google reviews",bot13,Vail
ONCE WEST Photography,043477ef-9af0-49e8-8382-99810f7b0abd,online,8,2025,Quote only,"Booking process is spelled out: pick a package and payment plan, then sign a contract and pay a retainer to lock the date. No actual package prices listed on the pages we found.","Michele and Mark are the team, based out of De Beque but their portfolio includes a Buena Vista elopement so they clearly range around the state. Style leans toward capturing joy and emotion over posed shots per multiple reviews. One review said they felt awkward in front of a camera going in and Michele put them at ease quickly. Another specifically praised how responsive and organized Michele was throughout planning, with Mark joining for the wedding day itself alongside her. 5 stars across 77 reviews.",,"site /packages; google reviews",bot14,Colorado
