venue,vendor_id,recon_type,month,year,price_text,price_details,notes,photos,sources,bot,service_region
Elevate Photography,e2a067d1-33d1-495a-b186-6c8671361049,online,1,2026,"$2,500+ photography, add-ons stack up","site starts photography around $2,500; additional hours run $350/hr, 2nd photographer $150/hr, engagement sessions $500-$1,000 depending on length, albums $750-$2,500, photo booth add-on $700. travel billed at $1/mile round trip to the reception, doubled if you add a 2nd shooter.","-photojournalistic/documentary style per their site, they also do video and you save $250-500 bundling photo+video+content creation\n-reviews name emily & bethany as shooters, both get called out for making couples comfortable in front of the camera\n-loved detail: instant sneak peek photo shown at the wedding itself\n-a la carte pricing is genuinely itemized on the site, no ""call for quote"" runaround",,site /pricing; google reviews,bot8,Denver metro
Ellie Rich,78d00bf3-4467-4ecd-a129-b3ead9b148b8,online,5,2026,Quote only,"couldn't find any package pricing on their site, it just links out to a separate ""Mr & Mrs RICH"" site for the actual wedding/elopement photography info. you'd have to inquire directly for rates.","-ellie and her husband dillon shoot together, reviews describe them as a team on shoots\n-she's described as both photographer and former model, which reviewers say shows in how she directs posing\n-most of the reviews on google are actually for maternity/family sessions, not weddings specifically, so wedding-day proof is thinner than i'd like\n-multiple reviewers mention her editing style giving a soft, polished feel",,site; google reviews,bot9,Colorado
Emberlight Media,e4b9c30e-cd64-4112-af0e-05c7f9563d18,online,1,2025,"starts around $945, hourly add-ons on top","a regional pricing digest lists wedding packages starting at $945. site itself doesn't break out wedding tiers but lists extras: extra hour $300/operator, drone add-on $500, wireless camera $300, portable power unit $100.","-heads up, this is a rebrand of ""All Digital Photo & Video"" and has been around since 1999\n-photo AND video together, one review specifically praises paul as the wedding photographer and devin for the video edit\n-a chunk of their recent reviews are actually about corporate/commercial event work, not weddings, so weigh the 5 star average accordingly\n-drone footage is an option if that's your thing",,site /pricing; google reviews; region pricing digest,bot10,Colorado
Embodied Art Boudoir,12717c71-19a5-43cd-b8b2-4cb29de86341,online,6,2026,"$2,900 flat session fee (sales tax extra)","the embodied art experience is a flat $2900 plus tax and includes a full day session plus a luxury 8x8 album with 20 images. zero-interest payment plans are available split monthly or biweekly after a deposit.","-this is a boudoir studio (gabby is the photographer named in reviews) not a wedding-day photographer",,site /pricing; google reviews,bot11,Colorado NOTPHOTOG:embodied-art-boudoir
Emerald Fox Boudoir,fb2e9c70-84ab-4685-8b99-198153145073,online,5,2025,Quote only,"site says full pricing requires a phone consult. session fee alone is $500; collections start at $350 and digital image packages start at $650 on top of that. 0% interest payment plans available starting around $50/month.","-boudoir studio not a wedding photographer, ali is named as the photographer in a couple reviews",,site /pricing; google reviews,bot12,Colorado NOTPHOTOG:emerald-fox-boudoir
Emily Elizabeth Images,083f1531-2147-434f-a4a3-435e5984cb0d,online,11,2025,Quote only,"site says ""please contact for current pricing"" and only lists a starting 2 hour session plus $250 for each additional hour past that. wedding packages run 3-10 hours per the site copy but the actual price sheet is on request only.","-no travel fee within 1 hour of boulder per their site\n-they do call out ""small weddings & elopements"" as a specific offering alongside family/newborn work\n-only 4 google reviews and none are actually about a wedding, they're maternity/newborn/engagement, so treat the wedding side as less proven",,site /pricing,bot13,Boulder area
Emily O Photography,db3a69d6-1148-4cfe-b904-8e0406f605c5,online,10,2025,Quote only,"site has zero pricing, just a warm intro line about family albums. no packages, no rates listed anywhere i could find.","-based in fruita/mesa county and every single review i found is family, newborn, or maternity work. couldn't turn up one wedding mention. NOTPHOTOG:emily-o-photography",,site; google reviews,bot14,Colorado
Fanciful Floral & Weddings,50237226-9aa1-4bfe-a772-5456a052ed2b,online,6,2025,Quote only,"site is FAQ-style and just says packages vary by need, no rate sheet, though a la carte funds can roll into a package if you upgrade later.","-this is a florist and month-of wedding planner (caley is named in every review) doing floral design and coordination in estes park, not photography. NOTPHOTOG:fanciful-floral-weddings",,site; google reviews,bot15,Colorado
Fawntail Boudoir Photography,07d3efc8-3906-495c-8538-cebe7107ea8e,online,6,2026,Quote only,"site emphasizes ""clear, upfront pricing"" as a selling point but the actual numbers aren't posted beyond add-ons: heirloom album $450, polaroid add-on $250 for 8, hair & makeup add-on $300, prints starting at $5.","-boudoir studio (petra is the photographer named across reviews), not wedding-day work. NOTPHOTOG:fawntail-boudoir-photography",,site /pricing,bot16,Boulder area
For Wild Love,0d37f6a7-a7d1-497d-b216-1055167b46a2,online,6,2026,"planning packages start $4,000-$5,500","site lists an elopement package starting at $4,000, a full wedding planning package starting at $5,000, and a micro wedding planning package starting at $5,500.","-winnie runs this as an elopement and wedding planning business for colorado and destination couples, not a photography studio, reviews all describe her as their planner. NOTPHOTOG:for-wild-love",,site /packages; google reviews,bot17,Colorado + destination
