venue,vendor_id,recon_type,month,year,price_text,price_details,notes,photos,sources,bot,service_region
Castlehouse Videography,2ee73e50-7618-47c8-ae08-e881d9d25710,online,8,2025,Quote only,"their site doesn't list any package prices, it's mostly elopement planning copy and blog content about dress shopping, so you have to inquire for rates directly","-mal & roo run this as a two person elopement photo + video + planning team based in colorado,-a wedding planner reviewer specifically praised roo for pulling together a late-april elopement on a short timeframe,-another review calls roo 'a creative genius' who suggested ideas during a brainstorming call before the shoot,-site leans hard into nature/adventure elopements not full weddings so ask if you want a big-guestlist day covered",,site /elopements; google reviews,bot1,Colorado
Catherine Norwood Denver Wedding Photographer,18069a93-e1b0-40b8-ad46-0911ecb1ae1c,online,6,2025,"$6,100-$8,500 wedding packages","Classic Coverage is $6,100 with a second photographer for 5 hours and a 60 min complimentary engagement session, Weekend Coverage is $8,500 with 12 hours of second-shooter time and a 90 min engagement session, elopements start at $1,250 for weekday coverage within 30 min of Denver (90 min, 5-10 guests, Saturdays and most Fri/Sun blocked May-Oct under 6 hrs), rehearsal dinner coverage is $1,000, boudoir add-on $800, mountain engagement travel is $300, albums start at $700 (family albums $500, $100 off if bought with the package), nonrefundable retainer required to book","Went looking into Catherine because she shoots a lot of Denver and Fort Collins weddings and delivers 75-100 edited images per hour of coverage, which is a nice concrete number to plan a gallery around. A wedding musician who worked a reception alongside her said she has a calm, professional energy and floats around without being intrusive during key moments, which is basically the review you want from a fellow vendor. Another couple said their engagement shoot in September felt seamless start to finish and that she made them comfortable in front of the camera, not a given for two people who described themselves as not super photogenic. All three reviews I found were five stars, so no warts surfaced yet, just consistently glowing.",,site /packages; google reviews,bot11,Denver metro RICH:catherine-norwood-denver-wedding-photographer
Clyde Plasencia Photography,beff527e-01d2-40f8-ba52-2ad5aab3e79a,online,4,2026,Quote only,"couldn't find dollar figures on the pricing page, just the structure: half day (4 hrs) vs full day elopement packages, no travel fees anywhere in Colorado (out of state he only passes along actual travel cost), and every elopement booking includes a minimum of 3 rolls of film shot alongside digital, so you'd still need to call or email for actual numbers","- Focus: colorado elopements and adventure days, not really a traditional big-wedding photographer from what the site shows,- Film shooter: every elopement gets at least 3 rolls of color or black and white film mixed in with digital, a nice touch if you want that look,- Reviews: multiple couples call him easy to work with and 'like a close friend,' one mentions he shot through a rainy Salida wedding that ended in a rainbow,- One reviewer said friends immediately booked him for their own wedding after seeing the results, always a good sign",,site /pricing; google reviews,bot12,Colorado + destination
Colt & Hannah Photography,7a406cb1-0b3f-4645-8ad2-c01d3e1e94f0,online,2,2025,Quote only,"the pricing page copy didn't have actual numbers listed anywhere we could see, just package descriptions, so you'd need to reach out directly for rates and video add-on costs","Colt and Hannah work out of Durango and specialize in San Juan Mountains elopements, they mention Telluride and Silverton by name and say they'll travel to the Four Corners area including Moab, Sedona and Santa Fe. They shoot both photo and video, plus they've started weaving 35mm film into digital elopement shoots if you want that texture. One review specifically called out their video and gallery from a two person elopement as phenomenal, and another said the couple felt like the pair somehow captured every moment despite being total strangers before the wedding day. Worth noting all the reviews I found are for elopements and destination weddings, not big ballroom receptions.",,site /elopements; google reviews,bot14,Colorado + destination
CStrong Photography,decd23b8-4f3c-474f-9046-2ba422fef44b,online,7,2025,Quote only,"couldn't get their pricing page to load so I can't say what packages or numbers look like, you'd have to reach out and ask","- Photographer is Carolyn, based in Durango, works with a second shooter named Jared on at least some weddings- One review says she rallied a big extended family into group photos without anyone getting cranky about it, no small feat per the reviewer- Another couple was traveling in from out of state and said she recommended shoot locations plus florists in the area, so she seems plugged into local vendors- All three reviews I found are five star and call her artistic/intentional with her shots, no complaints turned up",,"site attempted, page did not load; google reviews",bot15,Colorado
Danielle DeFiore Photography,b42a322a-ffe7-45fa-9884-a92ad20c4b48,online,12,2025,Quote only,"site copy is basically just a gallery link for Aspen venues, no packages or numbers posted anywhere we found so it's inquiry only","Danielle has 109 reviews on Google which is a lot for a wedding photographer, and she's based in Aspen but one review describes her shooting a full 3 day Indian wedding in Denver, covering every event across the multi-day celebration. Another bride said she booked Danielle 18 months out because finding the right photographer was a top priority, then had her shoot an Aspen engagement session first to get comfortable before the wedding. A third review is from an elopement in Aspen and calls out her warmth putting the couple at ease during the session itself. No negative reviews turned up in what we read, so treat that as a small sample rather than a guarantee.",,google reviews,bot16,Colorado + destination
David Gillette Photography,83c79768-b86d-4f18-882c-94e799007d43,online,8,2025,Quote only,"no pricing info on the site at all, it's just a portfolio, so you'd have to email or call for package rates","David is based in Vail and one review describes a couple flying in from out of state who set up their whole planning process over email and a call before the wedding, saying he was responsive throughout. Another review mentions he scouted Piney Lake north of Vail ahead of a wedding day to line up hike-in photo spots, and a third says he visited their venue in advance to plan shot locations before the day itself. Reviews are a bit dated, mostly 2014-2016 with one from 2016, so it's worth confirming he's still actively booking Colorado weddings before you reach out.",,google reviews,bot17,Colorado
Dog Daze Photo,94f6351c-be5d-4872-a335-667d649f6ed3,online,6,2026,Quote only,"base wedding package price isn't listed anywhere we found, but add-ons are spelled out: engagement shoot +$350 to any package, leather flush mount album +$650, out of region travel +$100 per 2 hours, and retouching beyond the included basic edit is $20 per photo after the first 10","-Lisa is the photographer behind Dog Daze and she also shoots senior portraits and band promo work,-not purely a wedding specialist,- but one review specifically calls out her wedding photography plus rehearsal dinner shots as capturing 'the most memorable moments,-Multiple reviewers mention her having a background shooting live performances which she says gives her a different eye for candid movement at events,-worth asking directly for a wedding-specific price sheet since the site's pricing section reads more general-portrait than wedding-day focused",,site /pricing; google reviews,bot2,Colorado
Doug Treiber Photography,67d86eb1-99c3-49f0-96cc-c3846ed08b69,online,5,2025,"$4,500+ full day, $1,200+ elopements","Full day wedding packages start at $4,500 for unlimited coverage with two photographers, plus your choice of an engagement session OR rehearsal dinner coverage and a private gallery with print rights. Elopement coverage starts at $1,200 for 2 hours, extra hours run $500 each up to a 4 hour cap before you'd need to move to the full wedding package instead. Based in Breckenridge, they primarily shoot Breckenridge, Vail, Beaver Creek, Steamboat, Winter Park and Aspen, and say travel fees may apply past 2 hours from home, with worldwide travel available. Couples typically book 6-12 months out and can lock a date with a signed contract plus retainer even before other details are finalized.","Went down a review rabbit hole on this husband and wife team since they show up a lot in the mountain corridor. One couple planned an ambitious ski and snowboard ceremony at Arapahoe Basin and said Doug and Jackie hit every shot on their wish list despite never having met beforehand. Another destination wedding couple specifically praised how seamless communication was while coordinating from out of state. A third review came recommended by a wedding planner and called them an incredible team who keep things fun and engaged the whole day, not a single negative popped up across what we read.",,site /pricing; google reviews,bot4,Summit County + destination RICH:doug-treiber-photography
Dreamtime Images Photography,08de28aa-8ee8-45b8-a1d4-b1eedf4d9c05,online,2,2026,Quote only,"site doesn't list any package pricing, it's a portfolio site so you'd need to email Nathan directly for rates","Nathan is the photographer behind Dreamtime, based in Estes Park, and reviewers specifically praise his knowledge of the area for finding unique mountain photo locations. One review describes him pitching in as an impromptu shuttle driver on the wedding day itself, going beyond just taking pictures. Another couple said he stayed available and kept in touch even after the wedding wrapped. Reviews span a wide range of dates, 2016 through 2021, so it's worth confirming current availability and pricing before counting on him.",,google reviews,bot6,Colorado
