venue,vendor_id,recon_type,month,year,price_text,price_details,notes,photos,sources,bot,service_region
Sarah Christine Photography,9c571b43-daba-4865-aa10-7c747a4dee19,online,5,2025,"$500/hr elopements, $3,000-$6,000 weddings","Site lists weddings at $3,000-$6,000 and elopements at $500 an hour, with engagement sessions bundled into some packages. No separate deposit info was listed on the pricing page.","-fort collins based, does weddings/families/babies/seniors/elopements/boudoir too\n-elopement pricing is hourly ($500/hr) instead of a flat package, worth asking what that covers\n-55 reviews all 5 stars, one bride specifically called out the candid guided shots and nonstop energy during the day\n-another reviewer got the ""silver package"" w/ engagement session included and loved it",,site /pricing; google reviews,bot13,Colorado
Sarah Goff Photography,4f27cf98-6fd4-481f-9ea3-4f19595074fa,online,5,2025,"Packages start at $3,000, most couples invest ~$6,800","Colorado wedding packages start at $3,000 with most couples landing around $6,800. Site states no travel fees within Colorado for weddings booked at 6+ hours. Full pricing isn't published, you request a guide to see the tiers.","Based in Berthoud but the site markets statewide, ""ALL COLORADO WEDDING PHOTOGRAPHY PACKAGES."" One reviewer said Sarah was organized and professional from the first video call, another praised her punctuality and how she stuck to the timeline. A much older review mentioned fast turnaround on both engagement and wedding photos, so that seems consistent over time.",,site /pricing; google reviews,bot14,Colorado
"Sarah Roshan Collective",39bc9095-be0b-438a-bda5-105d5da71e35,online,8,2025,Quote only,"No flat packages on site, coverage is custom built per couple since a short elopement and a full day wedding are priced differently. The one hard number given is video-only, starting at $4,000 and running $8,000-$9,000 for full-day storytelling. The site does state travel is always included in their proposals.","Breckenridge based but this team works destination weddings, per their own site copy they work with couples all over the world. They offer 2nd/3rd photographers, albums, wall art and welcome dinner coverage as add-ons, plus standalone or bundled video. One review described handling unexpected storms and a timeline shuffle without missing a beat during a Colorado wedding, and another mentioned capturing a whole Vail wedding from the village to the chapel.",,site /pricing; google reviews,bot15,Colorado + destination
Sean Lara Photography,97d177ae-51cb-48fd-a7a9-6c4f103b91be,online,6,2025,"Full day coverage from $4,875, most invest ~$7,500","Full day coverage starts at $4,875 with most couples spending around $7,500. Every collection includes full day coverage plus roughly 50-75 images per hour with no cap on the total delivered. Site states no travel fees within Colorado and frequent travel to worldwide destinations for engagement sessions.","Fort Collins based but covers Denver and statewide Colorado work too, 122 reviews and still all 5 stars recently. One review said he told the story of the day rather than just shooting it, another couple used him for both engagement and wedding photos and called out his eye for backgrounds specifically.",,site /pricing; google reviews; launchintel digest,bot16,Colorado + destination
Shell Creek Photography,691184c3-8d01-4476-b739-9ffe18730a4a,online,1,2025,Quote only,"Site is entirely elopement-focused messaging, no dollar figures published anywhere. Planning assistance is included with every elopement package per their own copy, but rates require an inquiry.","Montrose based and squarely an elopement and adventure wedding specialist, not a full traditional wedding photographer. Reviews consistently single out photographer Malachi by name and mention his nighttime star photography as a specialty. One review described him as extremely knowledgeable about a Moab elopement location and helping plan the full day, so he clearly travels outside Colorado for the right shoot.",,site /pricing; google reviews,bot17,Colorado + destination
Shelly Anderson Photography,fe082916-5673-401b-a119-b6e2d9416f8c,online,11,2025,Quote only,"-site doesn't list actual dollar figures, just ""click here for pricing""\n-what they do say: 8hr to full day coverage, destination packages available, film (35mm + medium format) included in ALL packages\n-off season/midweek/micro wedding pricing options exist too","-arvada based but does destination packages\n-the film-included-in-every-package thing seems like a real differentiator vs other CO photogs\n-38 reviews all 5 stars\n-one bride called the style ""documentary but still light, romantic, fun"" which tracks w/ the film angle\n-another review said Shelly's calm presence helped two camera-shy people relax",,site /pricing; google reviews,bot1,Colorado + destination
"Sierra Sturt Photo, Vail Photographer",d73b478d-16a0-4815-9c66-22ac27cf6c0d,online,10,2025,Quote only,"No pricing published on site at all, just a prompt asking what kind of investment you're looking to make. Couldn't get an actual number to check against.","Based in Minturn near Vail and clearly does a lot of destination work. One review mentioned the couple planned their engagement session from Monterrey, Mexico without knowing the area and said Sierra's communication made it easy from a distance, and another described planning a full wedding in Southern California while Sierra is based in Colorado. Her husband Zane also shoots video alongside her per one review. 137 reviews and still all 5 stars.",,site /pricing; google reviews,bot2,Colorado + destination
Signature Destination Photographers,afbf1a99-0974-4ada-a2f1-d49b8cf81e41,online,4,2026,Quote only,"No pricing lines were found on their site at all, so there's nothing to go on besides reviews. You'd have to reach out directly for a quote.","Avon based, and the name says destination but the reviews on hand are actually resort portrait sessions, family photos and engagement shoots at places like the Ritz-Carlton in Beaver Creek, rather than confirmed weddings, so it's worth confirming they book ceremonies and not just portrait sessions. Photographer Chris comes up in every review, one mentioned him wading into an icy river to get an engagement shot.",,site /pricing; google reviews,bot3,Colorado + destination
Siroky Photography,17e1904c-56a3-40bb-98ca-df3fd8fe233c,online,1,2025,Wedding photography starts at $2,500,"Essential Collection is $2,500 with additional hours at $750 each. Engagement sessions start separately at $500. Site says packages are flexible if you need something different, you just have to contact them.","Colorado Springs based, photographer Jerry comes up by name in every review. 231 reviews and consistently 5 stars across weddings and family sessions both, which says something about volume. One reviewer called him easy going but professional and said he brings infectious energy to a shoot, another said he has an eye for scenery that surpasses others they've used.",,site /pricing; google reviews,bot4,Colorado
Sky Pond Photo & Video,e176fe36-52dd-43f3-b3a8-bf167c5154c8,online,1,2025,Quote only,"No pricing on site. One review does say his prices are reasonable but gives no actual number to cite, so pricing is on inquiry.","Estes Park based, photographer Alex with reportedly 20+ years experience. Reviews on hand are mostly proposal and engagement shoots around RMNP and Marina Park rather than confirmed full weddings, so it's worth asking directly whether he covers full ceremonies. One reviewer who is a professional photographer herself said the whole planning-to-shoot process went flawlessly for her own proposal and engagement session.",,site /pricing; google reviews,bot5,Estes Park + destination
